"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000000001,Gnai3,230.77698,188.66492,253.11318,207.75958,144.2137,225.99784,267.06659,222.61707,221.93753,196.41571,250.57172
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2.55237,3.61877,7.28284,14.94563,16.98646,3.83994,2.60041,9.62634,39.32749,2.82787,2.29247
ENSMUSG00000000031,H19,1.30277,2.64072,122.98387,3.18739,2.39728,7.828,1.8677,1.96033,5.61821,0.92916,0.90834
ENSMUSG00000000037,Scml2,2.02063,2.2006,0.57255,12.99355,8.76721,2.19913,3.37623,15.07702,1.15989,3.47424,2.46549
ENSMUSG00000000049,Apoh,0.2127,0.0489,0.34353,0.13726,0.15411,0.12534,0.10057,0.19125,0.39871,0.0808,0.04325
ENSMUSG00000000056,Narf,15.39399,13.66818,124.81603,15.2964,22.32898,11.29192,9.10862,14.20044,42.48094,11.43267,10.90006
ENSMUSG00000000058,Cav2,35.30781,201.30615,124.70152,109.71316,93.80226,122.77537,40.58654,90.30272,116.75009,240.20728,78.3334
ENSMUSG00000000078,Klf6,3555.18853,2326.08486,228.90574,693.73672,634.47521,1559.95941,1952.29138,638.41438,245.57027,2679.60797,4781.53827
ENSMUSG00000000085,Scmh1,15.73963,44.08539,23.7723,36.51005,45.18879,39.27673,16.43575,35.44533,65.96869,54.0931,24.0926
ENSMUSG00000000088,Cox5a,35.52051,86.53255,52.83497,75.3077,73.51097,98.2203,60.84389,61.35995,96.2708,82.93736,47.40663
ENSMUSG00000000093,Tbx2,1.54206,0.95359,2.93146,40.55147,30.73659,0.67227,1.49416,24.52804,0.21748,1.25234,1.5139
ENSMUSG00000000094,Tbx4,0.37222,0.14671,0.45804,0.10675,0.20548,0.09116,0.14367,0.17531,0,0,0.17302
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0.58492,0.78244,4.5804,37.68435,44.52097,0.50136,1.27866,16.81422,1.77608,0.88876,1.16786
ENSMUSG00000000125,Wnt3,0,0.0489,0.11451,0,0,0.09116,0,0.04781,0,1.25234,0.04325
ENSMUSG00000000126,Wnt9a,2.02063,1.0025,12.89384,3.09588,7.56857,0.90016,1.30739,1.75314,24.57515,0.48478,1.0381
ENSMUSG00000000127,Fer,15.60669,21.54145,38.29219,27.1309,26.09614,18.55019,16.30645,25.27711,74.2329,21.6534,17.64772
ENSMUSG00000000131,Xpo6,100.41989,86.6548,86.15742,96.91787,90.17209,92.81932,91.83332,118.4486,110.47944,86.4116,80.84215
ENSMUSG00000000134,Tfe3,85.95645,58.41375,66.34717,83.34479,88.99057,86.23332,87.16407,99.1003,107.7972,65.80855,78.20364
ENSMUSG00000000142,Axin2,1.78134,3.66767,3.89334,26.94789,21.38719,1.68638,1.62346,14.79014,7.90174,4.44379,1.68691
ENSMUSG00000000148,Brat1,10.34242,14.45062,17.06201,6.58828,7.51719,11.51981,7.6432,4.30317,28.7435,13.93735,10.25125
ENSMUSG00000000149,Gna12,70.93468,102.89035,66.7823,100.82203,109.21337,106.84591,75.51251,80.93138,130.27005,89.11827,60.77219
ENSMUSG00000000154,Slc22a18,8.05592,18.85182,2.88566,0.32026,0.23973,17.2968,8.70635,0.31875,0.07249,20.48185,10.33776
ENSMUSG00000000157,Itgb2l,0.13294,0.0978,0.45804,0,0,0.18231,0.54594,0,0.57994,0.56557,0.5623
ENSMUSG00000000159,Igsf5,11.32615,6.16168,6.48127,0.30501,0.25685,6.88226,10.44475,0.17531,6.8506,6.74649,11.33261
ENSMUSG00000000167,Pih1d2,0.85079,1.66268,1.99248,1.28105,0.92467,1.42431,1.36486,0.66938,3.6609,1.57553,1.38414
ENSMUSG00000000168,Dlat,30.68164,49.41573,54.3465,51.62344,57.32931,60.10581,40.96008,47.54201,71.76814,49.44731,32.09463
ENSMUSG00000000171,Sdhd,46.36809,80.98214,73.83613,77.64105,76.61032,75.57949,47.87056,50.69766,84.2007,82.33139,54.63009
ENSMUSG00000000182,Fgf23,0.07976,0.02445,0.06871,0.30501,0.18836,0.01139,0.02873,0.28688,0.07249,0.0404,0
ENSMUSG00000000183,Fgf6,0.05317,0.0489,0,0.01525,0.01712,0.03418,0.0431,0,0.10874,0,0.08651
ENSMUSG00000000184,Ccnd2,1.72817,1.85829,64.95014,170.41074,230.20767,2.33587,5.78987,117.06203,391.31759,12.80621,3.0278
ENSMUSG00000000194,Gpr107,48.60142,65.87134,83.7069,55.80212,52.86009,62.73793,49.29289,48.67358,98.40934,67.30328,54.02453
ENSMUSG00000000197,Nalcn,0.07976,1.0514,0.50384,11.72775,13.25355,2.2561,0.58904,14.50326,0.25373,1.81792,0.25953
ENSMUSG00000000202,Btbd17,0.29246,0.44012,0.75577,0.30501,0.20548,0.72925,0.56031,0.47813,0.07249,0.40398,0.12976
ENSMUSG00000000204,Slfn4,0.05317,0.0978,0.0229,0.15251,0.01712,0.17092,0.37354,0.54188,0,0.32319,0.30278
ENSMUSG00000000214,Th,0,0,0,0.44227,0.27398,0.03418,0,0.255,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,10.6083,8.63125,5.06135,13.19181,11.96929,11.26913,5.41633,27.06213,0.28997,6.62529,12.71674
ENSMUSG00000000223,Drp2,0.85079,0.63573,1.76346,41.84778,62.68895,0.75203,1.19245,63.19278,3.55216,0.92916,0.77858
ENSMUSG00000000244,Tspan32,0.07976,0,0.11451,0.01525,0.03425,0.02279,0.01437,0.03188,0,0.0404,0
ENSMUSG00000000247,Lhx2,0,0.22006,0,0.07625,0.30822,0.27347,0,0.11156,0.25373,1.73712,0.04325
ENSMUSG00000000248,Clec2g,0.02659,0,0.50384,0.0915,0,0.02279,0.05747,0.04781,0,0.0404,0.08651
ENSMUSG00000000253,Gmpr,2.2865,5.03693,7.53477,1.72332,2.24317,8.81932,3.27566,1.57783,4.05961,7.71604,3.84963
ENSMUSG00000000263,Glra1,0.29246,0.14671,0.0229,0.0305,0.11986,0.13673,0.41664,0.04781,0.76118,0.0404,0.12976
ENSMUSG00000000266,Mid2,85.69058,51.66524,84.73749,49.67136,43.83603,60.36788,84.36253,57.55085,12.21508,54.77986,83.74018
ENSMUSG00000000275,Trim25,77.66124,121.76663,71.36271,99.9985,107.34691,131.00218,97.66629,117.46047,119.57732,103.50001,72.01828
ENSMUSG00000000276,Dgke,10.76782,14.84184,12.73353,18.9108,19.52073,16.45361,15.99038,20.20894,28.01857,14.38173,11.98142
ENSMUSG00000000278,Scpep1,55.7002,103.64834,92.27226,99.72399,85.90835,91.6229,52.81278,84.26235,156.65752,91.29977,60.16663
ENSMUSG00000000282,Mnt,36.69035,51.44518,41.842,55.84787,48.97307,36.79273,20.80329,38.04317,42.62593,37.28747,27.5962
ENSMUSG00000000290,Itgb2,0.71785,0.44012,2.63373,1.84533,1.47262,0.52415,0.90512,3.45847,2.93597,0.68677,0.73532
ENSMUSG00000000295,Hddc2,34.90901,18.82737,16.37495,16.62321,12.34601,21.19371,32.11006,13.02106,24.64764,15.75527,36.59307
ENSMUSG00000000296,Tpd52l1,0.37222,0.68463,0.45804,1.44881,1.36988,0.34183,1.06315,1.14751,1.84857,0.64637,0.82183
ENSMUSG00000000301,Pemt,2.84483,2.2495,1.87797,2.97388,2.84249,3.41834,3.20382,2.43846,3.76964,2.46429,2.81152
ENSMUSG00000000303,Cdh1,1168.74716,1261.40932,643.73011,430.8918,366.6302,1425.55028,1245.32422,562.5193,84.59941,1273.18747,1191.7404
ENSMUSG00000000305,Cdh4,0.45198,0.51347,0.18322,0.61003,1.40412,0.30765,0.0862,0.82876,0.03625,0.52518,0.25953
ENSMUSG00000000308,Ckmt1,51.57919,17.33585,58.67499,11.33123,12.32888,31.16387,38.37403,10.50291,1.5586,22.58255,53.46222
ENSMUSG00000000317,Bcl6b,0.05317,0.36677,3.13758,1.75382,1.387,0.64948,0.47411,2.21533,7.82925,0.80796,0.64881
ENSMUSG00000000318,Clec10a,0.13294,0.31786,0.25192,0.79303,0.49658,0.51275,0.45974,0.60563,0,1.00995,1.68691
ENSMUSG00000000320,Alox12,1.0369,11.78544,7.76379,27.25291,12.50012,3.41834,1.59473,21.26082,2.79098,5.33255,1.08136
ENSMUSG00000000325,Arvcf,21.96104,21.51699,28.03208,24.98056,22.20912,16.48779,13.96464,14.35982,18.63072,19.3911,22.92474
ENSMUSG00000000326,Comt,22.89159,33.4736,25.69607,35.96103,44.28124,34.76452,22.57042,30.28153,35.08665,34.74239,24.00609
ENSMUSG00000000339,Rtca,10.92734,18.19164,23.13104,23.5165,21.26733,15.83831,11.7234,20.91019,45.38066,16.15925,12.19769
ENSMUSG00000000340,Dbt,14.01146,31.24854,33.13923,22.02194,20.90773,26.65166,13.21756,25.43649,33.34681,40.92331,18.94535
ENSMUSG00000000346,Dazap2,247.60669,290.87064,261.3579,151.34743,174.71056,292.73523,232.78713,145.70198,174.81704,306.8642,259.52535
ENSMUSG00000000355,Mcts1,16.4309,24.08436,26.77247,21.1679,19.38375,22.57244,23.20257,20.94207,27.94608,28.48068,25.43348
ENSMUSG00000000359,Rem1,0.05317,0.0489,1.74055,0.15251,0.20548,0.06837,0.0431,0.23906,0.07249,0.24239,0.04325
ENSMUSG00000000365,Rnf17,0.02659,0.07335,0.11451,0.01525,0.01712,0.09116,0.15804,0.06375,0,0.24239,0.08651
ENSMUSG00000000374,Trappc10,75.32157,86.19023,88.14989,97.60415,105.53182,99.35975,93.52862,104.86973,97.10447,87.74474,76.2572
