"",characteristics,strain/background,age
GSM1545535,CD24+CD29loCD61+ luminal progenitor-enriched mammary cells,FVB/N,8 weeks
GSM1545536,CD24+CD29loCD61- mature luminal-enriched mammary cells,FVB/N,8 weeks
GSM1545537,CD24+CD29hi MaSC/Basal cell-derived mammosphere cells,FVB/N,8 weeks
GSM1545538,CD24+CD29hi mammary stem cell-enriched basal cells,FVB/N,8 weeks
GSM1545539,CD24+CD29hi mammary stem cell-enriched basal cells,FVB/N,8 weeks
GSM1545540,CD24+CD29loCD61- mature luminal-enriched mammary cells,FVB/N,8 weeks
GSM1545541,CD24+CD29loCD61+ luminal progenitor-enriched mammary cells,FVB/N,8 weeks
GSM1545542,CD24+CD29hi mammary stem cell-enriched basal cells,FVB/N,8 weeks
GSM1545543,"CommaD-beta-geo cells (Deugnier et al., 2006)",Balb/c,mid-pregnancy
GSM1545544,CD24+CD29loCD61- mature luminal-enriched mammary cells,FVB/N,8 weeks
GSM1545545,CD24+CD29loCD61+ luminal progenitor-enriched mammary cells,FVB/N,8 weeks
