"This file contain descriptions for each gene"  

gene_1	hypothetical protein FLJ22624
gene_2	heparan sulfate proteoglycan 2 (perlecan)
gene_3	agrin
gene_4	Huntingtin-interacting protein A
gene_5	glycoprotein A33 (transmembrane)
gene_6	calpain 6
gene_7	SRY (sex determining region Y)-box 4
gene_8	zinc finger protein 217
gene_9	**latexin protein
gene_10	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
gene_12	fibronectin 1
gene_13	BTG family, member 2
gene_14	**hypothetical protein FLJ23356
gene_15	branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)
gene_16	Homo sapiens, clone IMAGE:4183312, mRNA, partial cds
gene_17	matrix metalloproteinase 9 (gelatinase B, 92kD gelatinase, 92kD type IV collagenase)
gene_18	N-myc downstream regulated
gene_19	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)
gene_20	exportin, tRNA (nuclear export receptor for tRNAs)
gene_21	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
gene_22	leucine zipper, putative tumor suppressor 1
gene_23	CD53 antigen
gene_24	inositol polyphosphate-1-phosphatase
gene_25	casein kinase 2, alpha 1 polypeptide
gene_26	ESTs
gene_27	SPARC-like 1 (mast9, hevin)
gene_28	phosphoinositide-3-kinase, catalytic, gamma polypeptide
gene_29	phorbolin (similar to apolipoprotein B mRNA editing protein)
gene_30	nuclear factor I/A
gene_31	transmembrane 4 superfamily member 1
gene_32	Rho GDP dissociation inhibitor (GDI) beta
gene_33	trefoil factor 3 (intestinal)
gene_34	RNA helicase-related protein
gene_35	aquaporin 1 (channel-forming integral protein, 28kD)
gene_36	transcobalamin I (vitamin B12 binding protein, R binder family)
gene_37	Homo sapiens, clone IMAGE:4183312, mRNA, partial cds
gene_38	similar to rat HREV107
gene_39	bHLH protein DEC2
gene_40	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
gene_41	Homo sapiens mRNA; cDNA DKFZp586J2118 (from clone DKFZp586J2118)
gene_42	ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY [H.sapiens]
gene_43	replication factor C (activator 1) 4 (37kD)
gene_44	filamin B, beta (actin-binding protein-278)
gene_45	transmembrane 4 superfamily member 3
gene_46	GM2 ganglioside activator protein
gene_47	KIAA0074 protein
gene_49	Fc fragment of IgG binding protein
gene_50	ESTs
gene_51	Homo sapiens clone 24421 mRNA sequence
gene_52	connective tissue growth factor
gene_53	Ser-Thr protein kinase related to the myotonic dystrophy protein kinase
gene_54	chromogranin B (secretogranin 1)
gene_55	autocrine motility factor receptor
gene_56	cyclin D2
gene_57	putative cellular retinol-binding protein CRBP III
gene_58	echinoderm microtubule-associated protein-like
gene_59	hypothetical protein HT036
gene_60	a disintegrin and metalloproteinase domain 15 (metargidin)
gene_61	trichorhinophalangeal syndrome I
gene_62	matrix metalloproteinase 19
gene_63	microtubule-associated protein 7
gene_64	hypothetical protein FLJ11106
gene_65	**collagen, type V, alpha 2
gene_66	discoidin domain receptor family, member 2
gene_67	**Homo sapiens cDNA: FLJ23037 fis, clone LNG02036, highly similar to HSU68019 Homo sapiens mad protein homolog (hMAD-3) mRNA
gene_68	myosin VA (heavy polypeptide 12, myoxin)
gene_69	ESTs, Highly similar to T50835 hypothetical protein [H.sapiens]
gene_70	phorbol-12-myristate-13-acetate-induced protein 1
gene_71	**MAD (mothers against decapentaplegic, Drosophila) homolog 5
gene_72	antigen identified by monoclonal antibody Ki-67
gene_73	paraoxonase 3
gene_74	GK003 protein
gene_75	ADP-ribosylation factor-like 7
gene_76	hemopoietic cell kinase
gene_77	LPAP for lysophosphatidic acid phosphatase
gene_79	paternally expressed 10
gene_80	S100 calcium-binding protein A11 (calgizzarin)
gene_81	ESTs
gene_82	citrate synthase
gene_83	regulator of G-protein signalling 16
gene_84	transforming growth factor beta-stimulated protein TSC-22
gene_85	microtubule-associated protein, RP/EB family, member 2
gene_86	adrenergic, beta-2-, receptor, surface
gene_88	calpain 3, (p94)
gene_89	signal transducer and activator of transcription 1, 91kD
gene_90	annexin A8
gene_91	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
gene_92	bone marrow stromal cell antigen 2
gene_93	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
gene_94	vascular cell adhesion molecule 1
gene_95	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog
gene_96	forkhead box O1A (rhabdomyosarcoma)
gene_97	small inducible cytokine subfamily A (Cys-Cys), member 13
gene_98	Homo sapiens mRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)
gene_99	bullous pemphigoid antigen 1 (230/240kD)
gene_100	glutathione S-transferase M5
gene_101	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
gene_102	CED-6 protein
gene_103	wingless-type MMTV integration site family, member 5A
gene_104	actin, gamma 2, smooth muscle, enteric
gene_105	eukaryotic translation elongation factor 1 alpha 1
gene_106	hypothetical protein from clone 643
gene_107	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)
gene_108	epoxide hydrolase 2, cytoplasmic
gene_109	Homo sapiens cDNA: FLJ21592 fis, clone COL07036
gene_110	aldehyde dehydrogenase 3 family, member B1
gene_111	formyl peptide receptor 1
gene_112	Putative prostate cancer tumor suppressor
gene_113	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
gene_114	secretogranin II (chromogranin C)
gene_115	serum amyloid A1
gene_116	hypothetical protein
gene_117	collagen, type IV, alpha 1
gene_118	monoamine oxidase A
gene_119	keratin 4
gene_120	**mitochondrial ribosomal protein S14
gene_121	solute carrier family 5 (inositol transporters), member 3
gene_122	cytochrome P450 isoform 4F12
gene_123	proliferating cell nuclear antigen
gene_124	ESTs, Weakly similar to S21348 probable pol polyprotein-related protein 4 - rat [R.norvegicus]
gene_125	regulator of G-protein signalling 5
gene_126	six transmembrane epithelial antigen of the prostate
gene_127	cadherin 2, type 1, N-cadherin (neuronal)
gene_128	complement component 1, r subcomponent
gene_129	ESTs
gene_130	Homo sapiens cDNA FLJ13603 fis, clone PLACE1010270
gene_131	ESTs
gene_133	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)
gene_134	hypothetical protein PRO1489
gene_135	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 3
gene_136	nuclear receptor subfamily 1, group H, member 3
gene_137	**ras homolog gene family, member B
gene_138	uracil-DNA glycosylase
gene_139	putative integral membrane transporter
gene_140	osteomodulin
gene_141	sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1
gene_142	mitogen inducible 2
gene_143	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 4
gene_144	claudin 7
gene_145	mesothelin
gene_146	FOS-like antigen-1
gene_147	glutathione S-transferase theta 1
gene_148	paternally expressed 10
gene_149	hypothetical protein FLJ10210
gene_150	Lutheran blood group (Auberger b antigen included)
gene_151	CD14 antigen
gene_152	T cell receptor delta locus
gene_153	Duffy blood group
gene_154	transmembrane 4 superfamily member 2
gene_155	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
gene_156	heterogeneous nuclear ribonucleoprotein H1 (H)
gene_157	hypothetical protein PP1226
gene_158	biglycan
gene_159	**glutathione-S-transferase like; glutathione transferase omega
gene_160	endothelin receptor type A
gene_161	**hypothetical protein FLJ23356
